SINTA_INDEX,JOURNAL_TITLE,ARTICLE_TITLE,ARTICLE_ABSTRACT
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Pola Konsumsi dengan Terjadinya Sindrom Metabolik ,"AbstrakTerjadinya sindrom metabolik diduga berhubungan dengan pergeserangaya hidup masyarakat yang berubah menuju masyarakat modern, darimengonsumsi makanan tradisional beralih ke makanan instan dan kebaratbaratan. Penelitian ini bertujuan untuk mengetahui prevalensi sindrom metabolik dan determinannya dari pola konsumsi, meliputi konsumsi sayur dan buah serta pola makan makanan manis, asin, berlemak, lauk hewani berpengawet, dan penggunaan penyedap. Penelitian ini merupakan bagian dari analisis lanjut data Riset Kesehatan Dasar tahun 2013 dengan desain potong lintang. Jumlah sampel setelah pembobotan adalah 1.878.578 orang dengan kriteria berusia 18 tahun ke atas. Pengumpulan data pola konsumsi, antropometri, klinis, dan biomedis telah dilakukan. Analisis data menggunakan kai kuadrat dan regresi logistik biner. Prevalensi sindrom metabolik di Indonesia sebesar 23%, pada perempuan 26,6% dan pada laki-laki 18,3%. Konsumsi makanan manis lebih dari satu kali per hari sebanyak 43,5% dan kurang dari satu kali per hari 10,5% dengan peluang mengalami sindrom metabolik sebesar 6,567 kali. Konsumsi makanan asin yang termasuk dalam kategori sering memiliki proporsi sindrom metabolik sebesar 100% dengan risiko mengalami sindrom metabolik sebanyak 6,363 kali. Terdapat hubungan yang signifikan (nilai p < 0,05) antara pola konsumsisayur dan buah, frekuensi konsumsi makanan manis, asin, berlemak,lauk hewani yang diawetkan, penggunaan penyedap, dan mi instan dengan kejadian sindrom metabolik pada usia produktif.AbstractOccurrence of metabolic syndrome is assumedly related to the changing ofpeoples lifestyle into modern society, from consuming traditional food to instant food and be westernized. This study aimed to determine metabolicsyndrome prevalence and its determinants from consumption patterns including vegetable and fruit consumption as well as consumption patterns of sweet, salty, fatty food, preserved animal side dishes and use of seasonings. This study was a part of advanced 2013 Basic Health Research data analysis by cross sectional design. A total of sample after weighting was 1,878,578 people on aged 18 years old and older. Collecting consumption pattern, anthropometry, clinic and biomedic data had been conducted. Data analysis used chi square and binary logistic regression. Metabolic syndrome prevalence in Indonesia is 23%, 26.6% on women and 18.3% on men. Consuming sweet food more than once a day was 43.5% and less than once a day was 10.5% with opportunity of suffering metabolic syndrome was 6.567 times. Salty food consumption included into often category had metabolic syndrome proportion worth 100% with 6.363 times risk of suffering metabolic syndrome. There was a significant relation (p value < 0.05) between the pattern of vegetable and fruit consumption, frequency of sweet, salty, fatty food, preserved animal side dishes, the seasoning use and instant noodle with metabolic syndrome occurrence in productive age."
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Studi Intervensi Klaster Kawasan Tanpa Rokok pada Tingkat Rumah Tangga ,"AbstrakPerilaku merokok memberikan dampak negatif, baik bagi perokok aktifmaupun pasif, ditinjau dari sudut pandang kesehatan maupun ekonomi.Regulasi mengenai Kawasan Tanpa Rokok (KTR) yang telah diterbitkanbelum ada yang mengatur mengenai penerapan KTR di tingkat rumah tangga. Penelitian ini bertujuan untuk mengidentifikasi perubahan perilaku melalui intervensi terpadu KTR pada tingkat rumah tangga. Penelitian dilakukan pada bulan Juli - September 2014 menggunakan desain cluster trial pada empat desa di Kabupaten Ogan Ilir, Sumatera Selatan. Selanjutnya, 200 sampel kepala keluarga dipilih melalui metode cluster random sampling. Intervensi yang dilakukan meliputi konseling terpadu, pemberian permen pengganti rokok, dan tabungan sehat. Hasil penelitian menunjukkan bahwa proporsi responden yang merokok setiap hari dalam sebulan terakhir dan komitmen untuk tidak akan merokok di masa yang akan datang mencapai 71,6% dan 62% pada kelompok intervensi serta 91% dan 38% pada kelompok non-intervensi. Intervensi ini berpeluang 46% mengurangi perilaku merokok responden (RP = 0,46) setelah dikontrol oleh variabel pendidikan (RP = 0,152) dan sikap (RP = 0,216) dengan nilai p < 0,0001. Intervensi terpadu ini terbukti berhasil mengubah perilaku merokok pada kawasan rumah tangga sehingga diperlukan partisipasi masyarakat dan dinas kesehatan setempat untuk menindaklanjuti penerapan intervensi ini dalam jangka panjang.AbstractSmoking behavior has negative impacts, both for active and passive smokers, as reviewed from health and economic perspectives. Regulation concerning non-smoking area issued has not yet arranged implementation of non-smoking area at household level. This study aimed to identify any behavior change through integrated intervention of non-smoking area athousehold level. This study was conducted on July - September 2014 usingcluster trial design in four villages at Ogan Ilir District, South Sumatra.Then 200 household head samples were selected through cluster randomsampling method. The intervention included integrated counseling, distribution of candy as substitute for cigarette, and healthy saving. Results of study showed that proportion of respondents who smoked every day in a recent month and had a commitment not to smoke in the future reached 71.6% and 62% in the intervention group, then 91% and 38% in the non-intervention group respectively. This intervension had opportunity worth 46% reducing the smoking behavior of the respondents (RP= 0.46) after controlled by the variable of education (RP = 0.152) and attitude (RP = 0.216) with p value < 0.0001. This integrated intervention was profoundly successful changing smoking behavior at household level. So that, public participation and health agency need to follow up the implementation of this intervention in a long term."
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Perilaku Seksual Berisiko Pengguna Narkotika ,"AbstrakPenyalahgunaan narkotika yang melakukan hubungan seksual sebelummenikah, dan berganti-ganti mitra seksual merupakan perilaku berisiko.Masalah yang diakibatkan penyalahgunaan narkotika sangat kompleks,seperti masalah sosial dan kesehatan. Kecenderungan pengguna narkotika melakukan perilaku seksual dini dan tidak aman semakin memperparah kondisi kualitas hidup pecandu dan tentunya berdampak besar pada kelangsungan hidup di masa depan. Tujuan penelitian ini adalah mengetahui determinan perilaku seksual berisiko di kalangan pengguna narkotika. Metode penelitian adalah potong lintang menggunakan data sekunder kajian rekam medis di instalasi Medical Psikiatric Evaluation di rumah sakit ketergantungan obat (RSKO) Jakarta tahun 2013. Populasi penelitian adalah pasien ketergantungan narkotika yang dirawat inap di RSKO Cibubur selama tahun 2013. Sampel dalam penelitian ini adalah seluruh pasien yang dirawat inap berjumlah 74 responden. Analisis data yang digunakan adalah analisis secara univariat, bivariat, dan multivariat. Hasil penelitian membuktikan bahwa mayoritas responden telah melakukan perilaku seksual berisiko, yaitu sebesar 82,4% dengan usia pertama kali berhubungan seksual  17 tahun sebesar 78,4%. Usia pertama kali berhubungan seksual  17 tahun merupakan variabel yang paling berpengaruh terhadap perilaku seksual berisiko di kalangan pecandu narkotika. Model akhir analisis multivariat menunjukkan bahwa pengguna narkotika yang telah melakukan hubungan seksual  17 tahun berpeluang 6,74 kali (CI = 1,84  24,73) untuk melakukan perilaku seksual berisiko dibandingkan dengan pengguna narkotika > 17 tahun.AbstractNarcotic abuse having premarital sexual intercourse and multiple sexualpartners is risky behavior. Problems caused by narcotic abuse are verycomplex, such as social and health problems. Tendency of narcotic userscommitting early and unsafe sexual intercourse worsen condition of the addicts quality of life and definitely has a big impact on life survival in the future. This study aimed to determine determinants of risky sexual behavior among narcotic users. The method was cross sectional study using secondary data of medical record assessment at Medical PsikiatricEvaluation installation in Jakarta hospital for drug addicts in 2013. The study population was narcotic-addicted patients hospitalized at Cibubur Hospital for Drug Addicts within 2013. Sample of this study was all hospitalized patients amounted to 74 respondents. Data analysis used was univariate, bivariate and multivariate analysis. Results proved that most respondents had committed risky sexual behaviors worth 82.4% in which the age of first intercourse  17 years old worth 78.4%. The age of first intercourse  17 years old was the most influential variable to risky sexual behavior among narcotic addicts. The final model of multivariate analysis showed that narcotic users who committed sexual intercourse  17 years had 6.74 times opportunity (CI = 1.84  24.73) to commit risky sexual behavior than > 17 yearold narcotic users."
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Asma pada anak Indonesia: Penyebab dan Pencetus ,"AbstrakAsma merupakan penyakit kronis yang dapat mengganggu kualitas hidup.Hingga saat ini, jumlah penderita asma semakin meningkat termasuk diIndonesia. Penelitian ini bertujuan untuk mengidentifikasi faktor-faktor yang berhubungan dengan kejadian asma dan pencetus asma pada anak usia 6 - 14 tahun di Indonesia. Metode penelitian adalah desain potong lintang dengan menggunakan data Riset Kesehatan Dasar tahun 2013 di 33 provinsi di Indonesia. Variabel bebas adalah karakteristik responden, faktor lingkungan, dan perilaku merokok anak dan orangtua. Hasil analisis menunjukkan bahwa jenis kelamin laki-laki, kondisi sosial ekonomi rendah, riwayat asma pada orangtua, anak yang merokok atau pernah merokok, dan orangtua yang merokok atau pernah merokok adalah faktor risiko yang berhubungan secara signifikan dengan tinggi kejadian asma pada anak (nilai p < 0,05). Sedangkan variabel yang tidak berhubungan secara bermakna (nilai p > 0,05) adalah usia, kepadatan hunian, bahan bakar memasak, penerangan dalam rumah, dan penanganan sampah. Lima pencetus utama asma pada anak adalah udara dingin, flu dan infeksi, kelelahan, debu, dan asap rokok. Oleh karena itu, orangtua harus mendorong anak untuk bergaya hidup sehat agar anak terhindar dari serangan asma.AbstractAsthma is a chronic disease that can disrupt quality of life. Up to now, thenumber of asthma is more increasing including in Indonesia. This studyaimed to identify factors related to the incidence and triggers of asthmaamong 6 - 14 year-old children in Indonesia. Method of study was cross sectional design using 2013 Basic Health Research data in 33 provinces over Indonesia. Independent variables were characteristics of respondents, environmental factors and smoking behavior of children and parents.Theanalysis result showed that male sex, low socio-economic status, parentalasthma record, children and parental smoking were the risk factors significantly related to the increasing prevalence of asthma incidence among children (p value < 0.05). Meanwhile, age, housing density, cooking fuel, home lighting and waste handling were the other variables significantly not related (p value > 0.05). Five potential triggers of asthma in children are cold weather, flu and infections, fatigue, dust and tobacco smoke. Therefore, parents should encourage their children to get a healthy lifestyle in order to prevent them from asthma attack."
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Efektivitas Collaborative Governance dalam Pelayanan Komprehensif Berkesinambungan untuk Menanggulangi HIV/AIDS ,"AbstrakDi tingkat nasional dan daerah telah terdapat kebijakan publik, program dan kegiatan untuk menanggulangi HIV/AIDS, namun jumlah kasus HIV/AIDS meningkat setiap tahun. Tujuan penelitian ini untuk mengetahui efektivitas collaborative governance antarpemangku kepentingan dalam pelayanan komprehensif berkesinambungan untuk menanggulangi HIV/AIDS di Kota Surakarta. Penelitian ini merupakan studi kasus jenis exploratory. Informan ditentukan dengan menggunakan purposive sampling. Pengumpulan data dilakukan pada 2 Juli  2 September 2013 dengan wawancara mendalam, observasi, focus group discussion, dan dokumentasi. Teknik analisis data dengan model analisis interaktif. Hasil penelitian menunjukkan bahwa pemberi dan penerima layanan berperan dalam penanggulangan HIV/AIDS sesuai tugas dan fungsinya masing-masing. Program pencegahan dan penjangkauan, layanan kesehatan, reduksi bahaya, dan pemberdayaan belum efektif karena komitmen terhadap tujuan dan sikap saling percaya antarpemangku kepentingan belum optimal, petugas lapangan kurang profesional, terdapat konflik laten antarpemangku kepentingan, kurang optimalnya koordinasi antaranggota Komisi Penanggulangan AIDS Daerah Kota Surakarta dan rendahnya anggaran untuk penanggulangan HIV/AIDS karena HIV/AIDS belum menjadi isu prioritas dalam pembangunan daerah. Disimpulkan bahwa kolaborasi governance antarpemangku kepentingan belum efektif. Untuk meningkatkan kualitas dan efektivitas kolaborasi governance antarpemangku kepentingan, harus ada norma, struktur, dan proses yang jelas dalam menanggulangi HIV/AIDS.AbstractThere have been public policies, programs and activities to cope with HIV/AIDS in Indonesia at national and local level, but number of HIV/AIDScases is increasing every year. This study aimed to determine effectivity ofcollaborative governance between stakeholders in a sustainable comprehensive service to cope with HIV/AIDS in Surakarta City. This study was an exploratory study. Informants were selected using purposive sampling technique. Data collection was conducted on 2 July  2 September 2013 using in-depth interview, observation, focus group discussion, and documentation. Technique of data analysis was an interactive analysis model. Results showed that service provider and receiver had taken roles in HIV/AIDS coping based on their own duty and function. Prevention and outreach, healthcare service, harm reduction and empowerment programs had not been yet effective because of less optimal commitment to purpose and mutual trust between stakeholders, less professional fieldworkers, latent conflict occurred between stakeholders, less optimal coordination between AIDS Coping Commission of Surakarta City members, and low budget for HIV/AIDS coping as HIV/AIDS is not yet a priority issue in regional development. In brief, collaborative governance between stakeholders is not yet efffective. To improve the quality and the collaborative governance effectivity between stakeholders, there should be any clear norm, structure and process in coping with HIV/AIDS."
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Pengaruh Teknik Marmet terhadap Kelancaran Air Susu Ibu dan Kenaikan Berat Badan Bayi ,"AbstrakBayi lahir cukup bulan memiliki naluri menyusu 20 - 30 menit setelah dilahirkan. Namun, fakta menunjukkan produksi dan ejeksi air susu ibu (ASI) yang sedikit di hari-hari pertama menyebabkan banyak ibu yang mengalami ketidakefektifan proses menyusui. Tidak terproduksinya ASI diakibatkan karena kurangnya rangsangan hormon prolaktin. Teknik marmet merupakan perpaduan memerah dan memijat payudara pada ibu nifas yang dapat merangsang hormon pada proses menyusui. Penelitian ini bertujuan untuk mengetahui perbedaan pengaruh teknik marmet dengan masase payudara pada ibu nifas tiga hari postpartum terhadap kelancaran ASI dan kenaikan berat badan bayi. Penelitian ini menggunakan desain pre-experimental bentuk perbandingan kelompok statistik yang dilakukan di Puskesmas Grabag Kabupaten Magelang. Sampel yang digunakan adalah 40 responden postpartum pada September - November 2014. Uji statistik menggunakan uji Mann Whitney U. Teknik marmet dan masase payudara dalam memengaruhi kelancaran ASI secara statistik terdapat perbedaan (nilai p = 0,047). Sedangkan perbedaan dalam memengaruhi berat badan bayi diperoleh nilai p = 0,038 sehingga secara statistik tidak terdapat perbedaan. Pemberian perlakuan teknik marmet menyebabkan pengeluaran ASI lebih lancar, tetapi tidak terdapat perbedaan teknik marmet dengan masase payudara dalam memengaruhi kenaikan berat badan bayi.AbstractVigorous babies have suckling instinct for 20 - 30 minutes after born.However, the fact shows the low production and ejection of breastfeed in the first days cause many mothers have ineffective breastfeeding problem. The lack of prolactin hormone stimulus affects breastfeed cannot be produced. Marmet technique is a combination of breast dairy and massage in puerperium mothers that can stimulate hormone during breastfeeding. This study aimed to compare effects of both marmet technique and breast massage in three-days postpartum mothers on the smoothness of breastfeeding and baby weight gain. This study used pre-experimental design with statistical group comparison conducted in Grabag Primary Health Care, Magelang District. The samples used were 40 postpartum mother respondents on September - November 2014. The statistical test used Mann Whitney U-Test. Marmet technique and breast massage affecting the smoothness of breastfeeding were statistically different (p value = 0.047). Meanwhile, the difference in affecting baby weight gain reached p value = 0.038, so statistically no difference found. The treatment of marmet technique affects breastfeeding smoother, yet no difference found between marmet technique and breast massage in affecting the baby weight gain."
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Tumor Necrosis Factor- sebagai Prediktor Terjadinya Anemia pada Ibu Hamil di Wilayah Endemis Malaria ,"Ibu hamil yang berada di daerah endemis malaria sangat rentan terhadap infeksi malaria selama kehamilan. Gejala malaria pada kelompok ini sering asimptomatik atau bahkan tidak terdeteksi sama sekali karena adanya efek imunitas protektif melalui infeksi yang berulang. Adanya peningkatan kadar tumor necrosis factor-alpha (TNF-) dapat dijadikan indikator terjadinya infeksi malaria. TNF- berperan penting dalam respons imun pada malaria akut yang menghambat terjadinya eritropoesis. Penelitian ini bertujuan untuk mengetahui hubungan antara kadar TNF- dengan kejadian anemia pada ibu hamil didaerah endemik malaria vivax. Penelitian ini menggunakan desain potong lintang, dilakukan pada bulan Januari - Februari 2014 di lima wilayah kerja puskesmas Kota Bengkulu. Sampel penelitian adalah ibu hamil di daerah endemis malaria vivax yang diambil secara accidental sampling. Dilakukan pengambilan darah untuk pemeriksaan mikroskopis malaria, kadar TNF- dan kadar hemoglobin (Hb). Hasil penelitian menunjukkan seluruh ibu hamil memiliki riwayat pernah terinfeksi malaria vivax, walaupun hasil pemeriksaan slide negatif. Terjadi peningkatan kadar TNF-  dengan rerata 6,90  2,48 pg/mL dan penurunan kadar Hb dengan rerata 9,75  0,88 g%. Uji korelasi Spearman didapatkan korelasi negatif yang kuat (r = -0,734) dan bermakna (nilai p < 0,05) antara Kadar TNF- dengan kadar Hb. Terdapat hubungan yang bermakna antara kadar TNF- dengan kejadian anemia.Tumor Necrosis Factor- as Predictor of Anemia Occurrence among Pregnant Mothers in Malaria-Endemic AreasPregnant mothers living in malaria - endemic area are very susceptible to malaria infection during pregnancy. Malaria symptoms in this group are often asymptomatic or even not detected at all due to protective immunity effect through repeated infections. Any elevation of tumor necrosis factor-alpha (TNF-) level can be used as indicator of malaria infection. TNF- takes an important role in immune response on acute malaria that hinders occurence eritropoesis process. This study aimed to find out relations between TNF- level and anemia occurrence among pregnant women living in malaria vivax - endemic areas. The study used cross-sectional design conducted on January to February 2014 in five working areas in Bengkulu city. Sample of study was pregnant mothers in malaria vivax - endemic areas which was taken through accidental sampling. Blood was taken for malaria-microscopic examination, TNF- and haemoglobine (Hb) level. The results showed that all of pregnant mothers have malaria vivax - infected record, although slide examination showed negative result. Any TNF- level elevation with average 6.90  2.48 pg/mL and decrease of Hb level with average 9.75  0.88 g%. Spearman correlation test showed strong negative correlation (r = -0.734) and significant (p value < 0.05) between TNF- level and Hb level. There was significant relation between TNF- level and anemia occurrence."
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Optimalisasi Sistem Pelayanan Kesehatan Berjenjang pada Program Kartu Jakarta Sehat ,"Peningkatan jumlah kunjungan pasien ke rumah sakit pada awal masa pemberlakuan program Kartu Jakarta Sehat (KJS) disebabkan belum optimalnya sistem pelayanan kesehatan berjenjang. PT Asuransi Kesehatan (PT Askes) bersama Dinas Kesehatan DKI Jakarta melakukan berbagai upaya dalam bentuk paket intervensi untuk mengoptimalkan sistem tersebut. Penelitian ini bertujuan untuk mengevaluasi efektivitas paket intervensi PT Askes dan Dinas Kesehatan DKI Jakarta dalam meningkatkan optimilisasi sistem rujukan pelayanan kesehatan. Penelitian ini menggunakan survei potong lintang dengan metode pengambilan sampel acak pada puskesmas di DKI Jakarta terhadap hasil intervensi PT Askes. Hasil intervensi diukur melalui wawancara pada kepala puskesmas atau petugas yang mewakili. Data dianalisis menggunakan tes statistik nonparametrik, yaitu uji Wilcoxon dan regresi Generalized Linear Model. Penelitian dilakukan pada bulan Oktober 2013 hingga Februari 2014. Terdapat perbedaan bermakna pada keempat indikator, terjadinya peningkatan kunjungan peserta KJS dipengaruhi oleh ketersediaan tempat tidur, jumlah peserta KJS terdaftar, intervensi dalam bentuk regulasi, serta persentase pengangguran terbuka. Meskipun ada perbedaan signifikan setelah dikelola PT Askes, hal ini belum cukup membentuk persepsi puskesmas untuk berpendapat bahwa PT Askes memiliki andil dalam mengoptimalkan sistem pelayanan kesehatan berjenjang pada program KJS.Increasing the number of patient visits to the hospital at the beginning of the implementation Healthy Jakarta Card (KJS) program was claimed to be associated with optimization of health care referral system. PT Asuransi Kesehatan (PT Askes) with the DKI Jakarta Department of Health Service made efforts to improve the optimalization that system. This study aimed to evaluate the effectiveness of intervention PT Askess and DKI JakartaDepartement Of Healths packages in improving the optimization of health care referral system. This study used a cross sectional survey with a random sampling method in primary health centers in Jakarta related with the result of PT Askess intervention package. The result of intervention were conducted by interview to the head of the primary health center or officer representing. Data were analyzed with nonparametric statistical tests, using the Wilcoxon test and Generalized Linear Regression Model. The study was conducted in October 2013 until February 2014. There were significant differences between the four indicators, an increase in visits KJS participants are influenced by the availability of beds, number of participants registered KJS, intervention in the regulation, and the percentage of open unemployment. Although there were significant differences after managed by PT Askes, these efforts were not enough to make primary health centers perception that PT Askes has contributed to the optimization of health care referral system in KJS program."
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Tingkat Pengetahuan dan Persepsi terhadap Shisha pada Mahasiswa ,"Isu yang berkembang terkait pengetahuan dan persepsi seorang calon tenaga kesehatan memengaruhi keberhasilan pelayanan kesehatan dalam menjawab tantangan di masyarakat nantinya. Shisha (rokok dari Timur Tengah) mulai marak di Yogyakarta. Tujuan penelitian ini untuk memperoleh gambaran tentang tingkat pengetahuan dan persepsi terhadap shisha pada mahasiswa reguler tahap akademik Fakultas Kedokteran Universitas Gadjah Mada. Penelitian ini merupakan penelitian deskriptif menggunakan rancangan potong lintang. Sampel penelitian adalah mahasiswa dari tiga program studi yang dilakukan pada bulan September - Oktober 2013. Jumlah responden sebanyak 72 mahasiswa ilmu keperawatan, 74 mahasiswa gizi dan kesehatan dan 258 mahasiswa pendidikan dokter. Pengumpulan data dilakukan dengan kuesioner. Analisis dilakukan dengan uji Mann-Whitney U dan uji-t. Hasil analisis statistik menunjukkan tingkat pengetahuan terhadap shisha pada mahasiswa dikategorikan kurang, sedangkan persepsi dikategorikan cukup. Hasil analisis uji beda menunjukkan tidak terdapat perbedaan tingkat pengetahuan dan persepsi terhadap shisha antar kelompok program studi (p=0,05).Knowledge and perception of medical student toward issue influence their health service to challenge in public. Shisha (cigarette from middle east) increasingly widespread in Yogyakarta. This study was aimed to assess the knowledge and perception of undergraduate students toward shisha at the Faculty of Medicine Gadjah Mada University. This study was descriptive and cross sectional study. It was undertaken in three study programs in September to October 2013. The respondents consisted of 72 of nursing students, 74 nutritionist student and 258 medicine students. The data were collected by questionnaires. Data was analysed by Mann-Whitney U-test and t-test. The result showed knowledge about shisha of the student was mostly rated as low, while perceptions toward shisha was rated as enough. The comparation analysis showed that theres no difference of knowledge and perception toward shisha between study program groups (p=0.05)."
S0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,Membangun Bangsa yang Sehat Produktif ,"Peran kesehatan yang dipahami pihak ekeskutif dan legislatif di Indonesia masih terbatas pada pengobatan dan penyembuhan penyakit, bukan membangun sumber daya manusia yang berkualitas. Sejak masa penjajahan, kebijakan kesehatan tersebut didominasi oleh kebijakan kuratif dengan fasilitas kesehatan utama Rumah Sakit, Puskesmas dan Balai Pengobat. Upaya kesehatan tersebut melemahkan argumentasi peran penting kesehatan dalam pembangunan bangsa. Konsep tersebut berpengaruh terhadap tujuan upaya kesehatan mencapai keadaan sehat produktif untuk semua yang dapat mengantarkan penduduk mencapai tingkat sehat produktif. Definisi sehat yang baru tersebut berpengaruh terhadap perubahan paradigma penanganan kesehatan dari Health Program for Survival ke Health Program for Human Development. Tujuan akhir program kesehatan berubah menjadi sehat produktif yang bernilai ekonomis bagi sebagian besar penduduk. Hak azasi kesehatan menurut WHO mencakup hak informasi, privasi, menikmati kemajuan teknologi kesehatan, pendidikan kesehatan, ketersediaan makanan dan gizi, mencapai standard hidup optimal, dan jaminan sosial. Sudah saatnya upaya kesehatan tidak lagi bertumpu pada pengobatan penyakit, tetapi pada upaya peningkatan dan pemeliharaan kesehatan serta pencegahan penyakit dan penanguulangan risiko. Masyarakat perlu dilibatkan secara aktif dalam pemeliharaan kesehatan melalui pendekatan: (1) health gain approach (2) creation and production of their own health dan (3) upaya peoples health empowerment.Kata kunci : Paradigma pembangunan kesehatan, pembangunan manusiaAbstractThe role of health as perceived and understood by executives and legislatives in Indonesia is limited to medication of illness and curative aspect and not perceived as development of quality human resources. Since the Dutch colonial era, health policy in Indonesia is dominated by curative policy emphasizing on health facilities such as hospital, community health center, and health clinic. Those perception, policy, and effort has weakened and suppressed arguments on important roles of health in the development of nation. Newer concept of health stated that the goal of health effort is the achievement of productive health status for all meaning leading most of population to the productive health level. New definition of health is influencing the paradigm shift from Health Program for Survival to Health Program for Human Development. The end objective of health program has changed to productive health with economic value for most of the people. WHO human rights on health includes rights of information, privacy, rights to enjoy the advancement of health technology, health education, adequate food and nutrition, optimal living standard, and social security. Therefore, health effort should not be based on illness mediaction but on the improvement and maintenance of health, disease prevention, and risk reduction. Communities should be involved actively in health preservation and promotion through (1) health gain approach (2) creation and production of their own health and (3) peoples health empowerment.Keywords : Health development paradigm, human development"
